Orthogroup	Enteroscipio	Lactococcus	equolifaciens	isoflavoniconvertens
OG0000020	BAK44195.1, BAK45236.1	QPR48211.1	RNL37561.1, RNL38576.1, RNL38589.1, RNL39566.1, RNL40490.1, RNL40501.1, RNL40578.1, RNL40651.1	WP_281668254.1, WP_281668341.1
OG0000021	BAK43309.1	QPR48076.1, QPR48136.1, QPR48286.1, QPR48473.1, QPR48771.1, QPR49088.1, QPR49284.1, QPR49373.1, QPR49684.1, QPR49811.1, QPR49835.1		
OG0000022	BAK43318.1, BAK43319.1, BAK43728.1, BAK43729.1, BAK43733.1, BAK44688.1, BAK44689.1, BAK44734.1, BAK44874.1, BAK45887.1, BAK45888.1			WP_281668675.1
OG0000023	BAK43425.1, BAK43464.1, BAK43469.1, BAK43662.1, BAK43694.1, BAK43730.1, BAK44653.1, BAK44955.1, BAK44965.1	QPR48300.1	RNL38392.1	WP_281668451.1
OG0000024	BAK43799.1, BAK43898.1, BAK44488.1, BAK44775.1, BAK45414.1		RNL41524.1, RNL42055.1, RNL42171.1	WP_114615875.1, WP_281667885.1, WP_281668052.1, WP_281668112.1
OG0000025	BAK44040.1, BAK44912.1, BAK45025.1	QPR49168.1	RNL37230.1, RNL37592.1, RNL41014.1, RNL41977.1, RNL42028.1	WP_114615186.1, WP_281668277.1, WP_281668466.1
OG0000026	BAK44202.1, BAK44208.1, BAK44314.1, BAK44368.1, BAK44625.1	QPR48268.1	RNL37586.1, RNL38400.1, RNL39469.1	WP_281668383.1, WP_281668385.1, WP_281668487.1
OG0000027		QPR48405.1, QPR48544.1, QPR48644.1, QPR48768.1, QPR48942.1, QPR49344.1, QPR49414.1, QPR49522.1, QPR49762.1, QPR49767.1, QPR49935.1	RNL37670.1	
OG0000028	BAK44089.1, BAK44101.1, BAK44105.1	QPR49140.1, QPR49146.1, QPR49149.1		WP_281668130.1, WP_281668131.1, WP_281668134.1, WP_281668135.1, WP_281668140.1
OG0000029	BAK44607.1, BAK44950.1, BAK45186.1, BAK45402.1, BAK45932.1	QPR49066.1, QPR49581.1	RNL38854.1, RNL39506.1	WP_114615916.1, WP_281668440.1
OG0000030	BAK45354.1, BAK45837.1	QPR48200.1, QPR48227.1, QPR48228.1, QPR48706.1, QPR48951.1, QPR49788.1	RNL38240.1, RNL39895.1	WP_281668397.1
OG0000031		QPR48035.1, QPR48068.1, QPR48217.1, QPR48255.1, QPR48285.1, QPR49132.1, QPR49290.1, QPR49341.1, QPR49585.1, QPR49909.1, QPR49934.1		
OG0000032	BAK43369.1, BAK43537.1, BAK43664.1, BAK44986.1, BAK45350.1, BAK45382.1, BAK45439.1, BAK45871.1		RNL37983.1, RNL40508.1	
OG0000033	BAK43398.1, BAK44531.1, BAK44538.1, BAK45389.1		RNL38558.1, RNL38564.1, RNL40789.1	WP_123219395.1, WP_281668233.1, WP_281669137.1
OG0000034	BAK43433.1, BAK43794.1, BAK43899.1, BAK44014.1, BAK44479.1, BAK44868.1, BAK44954.1, BAK44987.1, BAK45721.1, BAK45750.1			
OG0000035	BAK43984.1, BAK45858.1	QPR48363.1, QPR49940.1	RNL37576.1, RNL40857.1, RNL41384.1, RNL41856.1	WP_281667814.1, WP_281668742.1
OG0000036	BAK44196.1		RNL37560.1, RNL38041.1, RNL39556.1, RNL40336.1, RNL40522.1, RNL40661.1, RNL41078.1	WP_281668255.1, WP_281668340.1
OG0000037	BAK44276.1, BAK44277.1, BAK44278.1, BAK44279.1, BAK44855.1	QPR49787.1	RNL38204.1, RNL39557.1, RNL40610.1, RNL40611.1	
OG0000038	BAK44713.1, BAK44958.1, BAK44964.1, BAK45273.1, BAK45374.1, BAK45448.1, BAK45449.1		RNL39541.1, RNL39925.1, RNL41064.1	
OG0000039	BAK43449.1, BAK44006.1, BAK44058.1, BAK44837.1, BAK45222.1		RNL39522.1, RNL40797.1	WP_281668174.1, WP_281668236.1
OG0000040	BAK43559.1, BAK45765.1	QPR48810.1, QPR48962.1	RNL37559.1, RNL40448.1, RNL40459.1	WP_114614702.1, WP_281667796.1
OG0000041	BAK43931.1, BAK44003.1, BAK45152.1	QPR48140.1, QPR48641.1, QPR49212.1	RNL37556.1, RNL39902.1	WP_281668991.1
OG0000042	BAK43990.1, BAK44199.1		RNL38236.1, RNL40452.1, RNL40817.1, RNL40870.1	WP_281667813.1, WP_281668190.1, WP_281668861.1
OG0000043	BAK44136.1, BAK44820.1	QPR48639.1	RNL39939.1, RNL40666.1, RNL41469.1	WP_281667991.1, WP_281668290.1, WP_281668371.1
OG0000044	BAK44485.1, BAK44499.1, BAK45346.1, BAK45863.1		RNL38051.1, RNL38052.1, RNL39426.1	WP_114615306.1, WP_281668937.1
OG0000045	BAK44878.1	QPR48112.1, QPR48144.1, QPR48189.1, QPR48210.1, QPR48354.1, QPR49784.1	RNL41090.1	WP_281668860.1
OG0000046		QPR48580.1, QPR48698.1, QPR48851.1, QPR48868.1, QPR48949.1, QPR49046.1, QPR49047.1, QPR49650.1, QPR49877.1		
OG0000047			RNL38551.1, RNL39057.1, RNL39131.1, RNL39175.1, RNL40512.1, RNL40996.1, RNL41042.1, RNL41095.1, RNL42023.1	
OG0000048	BAK43314.1, BAK43737.1, BAK44690.1, BAK44728.1, BAK44733.1, BAK44738.1	QPR49820.1		WP_281668676.1
OG0000049	BAK43321.1, BAK43322.1, BAK43323.1, BAK45891.1, BAK45892.1	QPR48325.1	RNL40403.1	WP_281669037.1
OG0000050	BAK43327.1, BAK43692.1, BAK43724.1, BAK43732.1, BAK44651.1, BAK44687.1, BAK44730.1, BAK45886.1			
OG0000051	BAK43350.1, BAK45928.1, BAK45958.1	QPR48041.1	RNL38857.1, RNL39090.1	WP_244595000.1, WP_281668286.1
OG0000052	BAK43387.1, BAK44163.1, BAK45167.1, BAK45674.1, BAK45675.1, BAK45677.1, BAK45678.1, BAK45685.1			
OG0000053	BAK43457.1, BAK43458.1, BAK43957.1, BAK44549.1, BAK44948.1, BAK45739.1		RNL39447.1	WP_281668913.1
OG0000054	BAK43484.1, BAK43958.1, BAK44206.1, BAK44371.1, BAK44372.1, BAK44940.1		RNL39417.1	WP_281668388.1
OG0000055	BAK43580.1	QPR48347.1, QPR48394.1, QPR49494.1, QPR49929.1	RNL37584.1	WP_281668745.1, WP_281669127.1
OG0000056	BAK43627.1, BAK43759.1, BAK44710.1, BAK45605.1		RNL39922.1, RNL40607.1, RNL40824.1	WP_281668548.1
OG0000057	BAK43786.1, BAK45250.1, BAK45352.1, BAK45356.1, BAK45411.1, BAK45490.1, BAK45761.1, BAK45841.1			
OG0000058	BAK43831.1, BAK44091.1, BAK44097.1		RNL39466.1, RNL41362.1	WP_281668144.1, WP_281668145.1, WP_281668153.1
OG0000059	BAK43878.1, BAK44316.1, BAK44922.1, BAK44961.1, BAK45729.1		RNL39044.1, RNL39445.1	WP_281668914.1
OG0000060	BAK44018.1, BAK44494.1, BAK44771.1, BAK45223.1, BAK45530.1, BAK45671.1, BAK45805.1		RNL40506.1	
OG0000061	BAK44024.1, BAK44244.1, BAK44245.1	QPR48535.1, QPR48802.1, QPR48808.1	RNL39543.1	WP_281668764.1
OG0000062	BAK44085.1, BAK44520.1, BAK45015.1, BAK45758.1		RNL39545.1, RNL42011.1	WP_281668345.1, WP_281669054.1
OG0000063	BAK44192.1, BAK45419.1		RNL40498.1, RNL42060.1	WP_281668057.1, WP_281668110.1, WP_281668251.1, WP_281668252.1
OG0000064	BAK44326.1, BAK45261.1, BAK45262.1, BAK45900.1	QPR49053.1	RNL37676.1, RNL37677.1	WP_281668212.1
OG0000065	BAK44731.1, BAK45163.1, BAK45314.1	QPR49162.1	RNL37563.1, RNL42109.1	WP_281667876.1, WP_281668672.1
OG0000066	BAK44766.1, BAK44767.1	QPR49213.1	RNL40368.1, RNL42159.1, RNL42160.1	WP_281668895.1, WP_281668896.1
OG0000067	BAK45059.1	QPR48724.1, QPR49400.1	RNL41922.1, RNL42179.1, RNL42190.1	WP_281668162.1, WP_281668892.1
OG0000068	BAK45212.1, BAK45213.1, BAK45724.1		RNL38224.1, RNL41905.1	WP_281668198.1, WP_281668302.1, WP_281668634.1
OG0000069	BAK45755.1	QPR48313.1, QPR48424.1, QPR48425.1, QPR49068.1, QPR49423.1	RNL39825.1	WP_281667948.1
OG0000070	BAK45767.1, BAK45768.1	QPR48761.1, QPR48762.1	RNL40456.1, RNL40457.1	WP_281667792.1, WP_281667793.1
OG0000071			RNL41863.1, RNL41865.1, RNL42073.1, RNL42074.1	WP_114615146.1, WP_123218751.1, WP_281668031.1, WP_281668654.1
OG0000072	BAK43334.1, BAK43717.1, BAK44679.1, BAK45826.1, BAK45909.1		RNL40366.1	WP_281668079.1
OG0000073	BAK43426.1, BAK45062.1	QPR48726.1	RNL41894.1, RNL41986.1	WP_123219903.1, WP_281668689.1
OG0000074	BAK43461.1, BAK43961.1, BAK44205.1, BAK44959.1, BAK44960.1		RNL39134.1	WP_281668382.1
OG0000075	BAK43508.1, BAK44477.1, BAK45355.1, BAK45466.1		RNL38769.1, RNL39060.1, RNL41026.1	
OG0000076	BAK43601.1, BAK43602.1	QPR48064.1	RNL37436.1, RNL37437.1	WP_114615283.1, WP_114615284.1
OG0000077	BAK43697.1, BAK44656.1	QPR49264.1, QPR49393.1, QPR49434.1, QPR49945.1	RNL37661.1	
OG0000078	BAK43797.1, BAK43896.1, BAK45321.1, BAK45364.1		RNL40469.1, RNL41938.1	WP_114614822.1
OG0000079	BAK43879.1, BAK44315.1, BAK44921.1, BAK44963.1, BAK45730.1		RNL39444.1	WP_114614909.1
OG0000080	BAK43920.1, BAK43922.1, BAK44111.1	QPR49152.1	RNL38212.1, RNL38223.1	WP_281668154.1
OG0000081	BAK44457.1, BAK45325.1, BAK45637.1	QPR48627.1	RNL40602.1	WP_114614800.1, WP_281668374.1
OG0000082	BAK44465.1, BAK45345.1	QPR49500.1, QPR49501.1	RNL38248.1, RNL41069.1	WP_114615493.1
OG0000083	BAK44626.1	QPR49658.1, QPR49659.1	RNL41021.1, RNL41547.1	WP_281667925.1, WP_281668872.1
OG0000084	BAK44703.1		RNL37148.1, RNL37150.1, RNL37470.1, RNL38028.1, RNL38532.1	WP_281669072.1
OG0000085	BAK44890.1	QPR49899.1	RNL41045.1	WP_281668755.1, WP_281668851.1, WP_281668997.1, WP_281669036.1
OG0000086	BAK45219.1, BAK45763.1, BAK45829.1, BAK45835.1, BAK45875.1		RNL38768.1, RNL41063.1	
OG0000087	BAK45239.1	QPR48695.1, QPR49178.1, QPR49694.1, QPR49697.1	RNL37817.1	WP_114615674.1
OG0000088	BAK45359.1, BAK45614.1		RNL38759.1, RNL38760.1, RNL40790.1, RNL40862.1	WP_281668761.1
OG0000089	BAK45416.1		RNL42057.1, RNL42173.1	WP_281667883.1, WP_281668050.1, WP_281668054.1, WP_281668114.1
OG0000090	BAK45420.1, BAK45542.1		RNL39553.1, RNL40582.1, RNL42061.1	WP_281668058.1, WP_281668428.1
OG0000091	BAK45523.1	QPR49693.1	RNL39038.1, RNL39184.1	WP_281668535.1, WP_281668717.1, WP_281669094.1
OG0000092	BAK45686.1	QPR49169.1, QPR49540.1	RNL39177.1, RNL40505.1	WP_281668280.1, WP_281668734.1
OG0000093		QPR48099.1, QPR48393.1, QPR48499.1, QPR49853.1	RNL37454.1, RNL38410.1	WP_281668658.1
OG0000094		QPR48201.1, QPR48222.1, QPR48333.1, QPR48550.1, QPR48551.1, QPR48794.1	RNL40603.1	
OG0000095		QPR49010.1, QPR49297.1, QPR49529.1, QPR49576.1, QPR49703.1, QPR49793.1		WP_281667898.1
OG0000096	BAK43363.1	QPR49014.1, QPR49339.1	RNL38841.1, RNL41847.1	WP_114616438.1
OG0000097	BAK43394.1, BAK44535.1		RNL38561.1, RNL40863.1	WP_281668238.1, WP_281668977.1
OG0000098	BAK43397.1, BAK43670.1, BAK43778.1, BAK44489.1, BAK44970.1			WP_281668504.1
OG0000099	BAK43406.1, BAK43477.1	QPR48356.1	RNL39065.1	WP_281667913.1, WP_281668527.1
OG0000100	BAK43408.1	QPR48111.1, QPR48688.1, QPR49067.1	RNL40467.1	WP_281668773.1
OG0000101	BAK43467.1	QPR49272.1	RNL41107.1	WP_281668448.1, WP_281668452.1, WP_281669093.1
OG0000102	BAK43511.1		RNL37984.1, RNL39539.1	WP_281667881.1, WP_281668322.1, WP_281668980.1
OG0000103	BAK43534.1, BAK44411.1, BAK44522.1, BAK44984.1		RNL40514.1	WP_281667834.1
OG0000104	BAK43545.1, BAK43880.1, BAK44925.1, BAK45728.1, BAK45736.1		RNL40784.1	
OG0000105	BAK43546.1, BAK43549.1, BAK43970.1		RNL40779.1, RNL40781.1, RNL40783.1	
OG0000106	BAK43570.1, BAK45404.1		RNL40476.1, RNL40970.1	WP_281668461.1, WP_281669092.1
OG0000107	BAK43657.1, BAK44240.1, BAK45159.1, BAK45292.1		RNL40367.1, RNL41086.1	
OG0000108	BAK43758.1	QPR48590.1, QPR48823.1, QPR49102.1	RNL41515.1	WP_123218945.1
OG0000109	BAK43784.1	QPR48141.1	RNL37447.1, RNL38250.1	WP_281668042.1, WP_281668339.1
OG0000110	BAK43826.1, BAK45373.1, BAK45633.1		RNL40795.1, RNL40873.1	WP_281668234.1
OG0000111	BAK43861.1, BAK44583.1, BAK44972.1		RNL39903.1, RNL40527.1	WP_281669122.1
OG0000112	BAK43864.1, BAK44404.1		RNL41968.1, RNL42085.1	WP_281668143.1, WP_281668151.1
OG0000113	BAK43912.1, BAK44973.1	QPR48866.1, QPR48913.1	RNL38246.1	WP_281668569.1
OG0000114	BAK43925.1, BAK44753.1, BAK45821.1	QPR49448.1	RNL37783.1, RNL38057.1	
OG0000115	BAK43966.1, BAK45270.1	QPR48682.1	RNL40371.1, RNL42152.1	WP_281668481.1
OG0000116	BAK43981.1, BAK44805.1		RNL37233.1, RNL38569.1	WP_281668740.1, WP_281669051.1
OG0000117	BAK43992.1	QPR49518.1, QPR49520.1	RNL39512.1, RNL41838.1	WP_281668650.1
OG0000118	BAK44022.1, BAK44991.1	QPR48659.1	RNL40221.1, RNL41432.1	WP_123219668.1
OG0000119	BAK44033.1, BAK44037.1, BAK44042.1, BAK44916.1		RNL41012.1	WP_281668278.1
OG0000120	BAK44036.1, BAK44917.1		RNL40504.1, RNL41106.1, RNL42025.1	WP_281667977.1
OG0000121	BAK44079.1, BAK44081.1	QPR49125.1, QPR49942.1	RNL38010.1	WP_281668815.1
OG0000122	BAK44090.1, BAK44469.1	QPR49141.1	RNL41067.1	WP_114615491.1, WP_281668968.1
OG0000123	BAK44180.1, BAK44324.1	QPR49051.1	RNL38416.1, RNL40668.1	WP_281669117.1
OG0000124	BAK44183.1, BAK44328.1, BAK45902.1	QPR49055.1	RNL38419.1	WP_281669119.1
OG0000125	BAK44197.1		RNL40502.1	WP_281668107.1, WP_281668207.1, WP_281668247.1, WP_281668434.1
OG0000126	BAK44212.1	QPR48879.1, QPR49123.1, QPR49209.1	RNL41479.1	WP_114614915.1
OG0000127	BAK44217.1, BAK45771.1		RNL39041.1, RNL39042.1	WP_281668502.1, WP_281668503.1
OG0000128	BAK44221.1, BAK44708.1	QPR49035.1	RNL39920.1, RNL41472.1	WP_114614922.1
OG0000129	BAK44254.1, BAK44255.1, BAK44265.1		RNL37347.1	WP_281669112.1, WP_281669113.1
OG0000130	BAK44282.1, BAK44628.1	QPR48677.1	RNL41971.1	WP_281668035.1, WP_281668043.1
OG0000131	BAK44408.1, BAK44809.1, BAK44810.1		RNL37684.1, RNL40605.1	WP_281668376.1
OG0000132	BAK44422.1	QPR48702.1, QPR49419.1	RNL40834.1	WP_281668575.1, WP_281668611.1
OG0000133	BAK44452.1	QPR48077.1, QPR48224.1, QPR49477.1	RNL41923.1	WP_281668786.1
OG0000134	BAK44456.1, BAK45638.1	QPR48628.1	RNL40601.1	WP_281668373.1, WP_281668836.1
OG0000135	BAK44542.1	QPR48100.1, QPR48469.1, QPR49163.1	RNL38566.1	WP_281669138.1
OG0000136	BAK44552.1, BAK44911.1	QPR48867.1	RNL38779.1	WP_281668321.1, WP_281669135.1
OG0000137	BAK44578.1, BAK44830.1, BAK45848.1	QPR49608.1	RNL38773.1	WP_281668629.1
OG0000138	BAK44712.1, BAK44920.1, BAK44962.1		RNL39443.1, RNL39924.1	WP_281668915.1
OG0000139	BAK44787.1	QPR48177.1	RNL37792.1, RNL41393.1, RNL41943.1	WP_114615469.1
OG0000140	BAK44795.1, BAK44968.1	QPR48283.1, QPR48342.1	RNL40290.1	WP_281668780.1
OG0000141	BAK44812.1	QPR48109.1, QPR48353.1, QPR48397.1, QPR48769.1, QPR48940.1		
OG0000142	BAK44935.1, BAK45087.1	QPR48645.1	RNL37985.1, RNL41996.1	WP_123219693.1
OG0000143	BAK44937.1		RNL39441.1, RNL39499.1, RNL41998.1	WP_281667983.1, WP_281668192.1
OG0000144	BAK44977.1	QPR48204.1, QPR48600.1, QPR49707.1	RNL41428.1	WP_281668399.1
OG0000145	BAK45007.1	QPR48876.1	RNL39808.1, RNL40365.1	WP_281667959.1, WP_281668078.1
OG0000146	BAK45027.1	QPR49171.1	RNL40525.1, RNL41979.1	WP_281667862.1, WP_281668279.1
OG0000147	BAK45029.1, BAK45666.1, BAK45869.1	QPR49061.1	RNL37994.1, RNL40360.1	
OG0000148	BAK45057.1	QPR48721.1, QPR49402.1, QPR49651.1	RNL41890.1	WP_281668160.1
OG0000149	BAK45113.1, BAK45437.1		RNL39137.1, RNL39855.1	WP_114614735.1, WP_281668772.1
OG0000150	BAK45117.1	QPR49686.1, QPR49752.1	RNL39058.1, RNL41088.1	WP_281668532.1
OG0000151	BAK45210.1		RNL39039.1, RNL39045.1, RNL39910.1, RNL41964.1	WP_281668261.1
OG0000152	BAK45252.1	QPR48493.1, QPR48844.1, QPR48931.1	RNL39811.1	WP_114615464.1
OG0000153	BAK45388.1, BAK45391.1	QPR49065.1		WP_114615602.1, WP_281668565.1, WP_281669022.1
OG0000154	BAK45398.1		RNL37797.1, RNL39094.1, RNL40255.1	WP_281667899.1, WP_281667902.1
OG0000155	BAK45471.1	QPR49885.1	RNL41380.1	WP_281668169.1, WP_281668231.1, WP_281668232.1
OG0000156	BAK45515.1	QPR48456.1	RNL37557.1, RNL38575.1	WP_281668491.1, WP_281668790.1
OG0000157	BAK45531.1	QPR48567.1	RNL39907.1	WP_281667941.1, WP_281668066.1, WP_281668222.1
OG0000158	BAK45603.1	QPR48889.1	RNL41032.1, RNL41944.1, RNL42167.1	WP_281668821.1
OG0000159	BAK45722.1, BAK45753.1	QPR49476.1, QPR49682.1, QPR49781.1	RNL40263.1	
OG0000160	BAK45783.1	QPR49453.1	RNL41383.1, RNL41857.1, RNL41959.1	WP_281668787.1
OG0000161	BAK45859.1	QPR49327.1	RNL38411.1, RNL40858.1	WP_114614710.1, WP_123219974.1
OG0000162		QPR48053.1, QPR49881.1, QPR49882.1, QPR49905.1	RNL40301.1	WP_281668711.1
OG0000163		QPR48190.1, QPR48191.1, QPR48643.1, QPR48685.1, QPR49412.1, QPR49588.1		
OG0000164		QPR48295.1, QPR48296.1, QPR48312.1, QPR48930.1	RNL40442.1	WP_281667806.1
OG0000165		QPR48349.1, QPR48766.1, QPR48938.1, QPR48939.1, QPR49589.1, QPR49590.1		
OG0000166	BAK43290.1	QPR49542.1	RNL36808.1, RNL37799.1	WP_281668522.1
OG0000167	BAK43299.1, BAK44569.1	QPR48705.1	RNL40978.1	WP_281669091.1
OG0000168	BAK43304.1, BAK43305.1, BAK43525.1, BAK44365.1	QPR48632.1		
OG0000169	BAK43315.1, BAK43726.1, BAK43736.1, BAK44693.1, BAK44737.1			
OG0000170	BAK43316.1, BAK43725.1, BAK43735.1, BAK43855.1, BAK44736.1			
OG0000171	BAK43317.1, BAK43734.1, BAK44694.1, BAK44727.1, BAK44735.1			
OG0000172	BAK43347.1, BAK43709.1, BAK44671.1, BAK45280.1, BAK45924.1			
OG0000173	BAK43353.1, BAK45772.1	QPR48635.1, QPR49045.1	RNL38007.1	
OG0000174	BAK43372.1, BAK44092.1	QPR48194.1	RNL38834.1	WP_114616340.1
OG0000175	BAK43379.1, BAK43380.1, BAK45779.1	QPR49874.1	RNL39046.1	
OG0000176	BAK43403.1	QPR48775.1, QPR48943.1, QPR49421.1	RNL41919.1	
OG0000177	BAK43409.1, BAK45410.1		RNL38849.1, RNL39834.1	WP_281668074.1
OG0000178	BAK43427.1	QPR48309.1, QPR48883.1	RNL37828.1	WP_114614538.1
OG0000179	BAK43429.1	QPR49611.1	RNL37678.1	WP_281668219.1, WP_281668310.1
OG0000180	BAK43462.1		RNL40401.1, RNL40406.1, RNL41978.1	WP_281668081.1
OG0000181	BAK43489.1, BAK43553.1, BAK44927.1, BAK45738.1		RNL38746.1	
OG0000182	BAK43493.1, BAK43801.1	QPR48720.1	RNL41873.1	WP_114614804.1
OG0000183	BAK43513.1	QPR48554.1	RNL41862.1, RNL41888.1	WP_281668563.1
OG0000184	BAK43529.1, BAK45151.1	QPR49230.1	RNL40300.1	WP_281667809.1
OG0000185	BAK43582.1	QPR49713.1	RNL40480.1, RNL41948.1	WP_281668455.1
