Orthogroup	GCA_000008865.2	MG1655	Wolbachia	fragilis
OG0000010			QQM00390.1, QQM00501.1, QQM00539.1, QQM00591.1, QQM00673.1, QQM00675.1, QQM00761.1, QQM00778.1, QQM00779.1, QQM00847.1, QQM00904.1, QQM00906.1, QQM01140.1, QQM01142.1, QQM01260.1, QQM01262.1	
OG0000011			QQM00403.1, QQM00417.1, QQM00423.1, QQM00444.1, QQM00504.1, QQM00522.1, QQM00558.1, QQM00593.1, QQM00631.1, QQM00654.1, QQM00766.1, QQM00792.1, QQM00864.1, QQM01059.1, QQM01151.1	
OG0000012			QQM00424.1, QQM00523.1, QQM00557.1, QQM01402.1, QQM01403.1, QQM01404.1, QQM01408.1, QQM01416.1, QQM01420.1, QQM01423.1, QQM01434.1, QQM01436.1, QQM01444.1, QQM01455.1, QQM01468.1	
OG0000013				QRP87674.1, QRP87675.1, QRP87725.1, QRP87925.1, QRP87999.1, QRP88035.1, QRP88131.1, QRP88915.1, QRP89015.1, QRP89034.1, QRP89098.1, QRP90766.1, QRP90971.1, QRP90972.1, QRP91185.1
OG0000014	BAB33752.1, BAB34526.1, BAB34731.1, BAB34761.1, BAB34764.2, BAB35082.1, BAB35242.1, BAB35646.1, BAB36213.1, BAB36916.1, BAB37270.1, BAB37288.2, BAB37291.1, BAB37969.1			
OG0000015	BAB34085.1, BAB34389.1, BAB34568.1, BAB35956.1, BAB37864.1	AAC73724.1, AAC73967.1, AAC74075.1, AAC74625.1, AAC74630.1, AAC74893.1, AAC76580.1	QQM01332.1	QRP88741.1
OG0000016	BAB34511.1, BAB34630.1, BAB34950.1, BAB35204.1, BAB35384.1, BAB35612.2, BAB35685.1, BAB36169.1, BAB36395.1, BAB36921.1, BAB38416.1, BAB38691.1, BBE29405.1	AAC77265.1		
OG0000017			QQM00392.1, QQM00465.1, QQM00531.1, QQM00617.1, QQM00721.1, QQM00764.1, QQM00786.1, QQM00818.1, QQM00862.1, QQM01080.1, QQM01086.1, QQM01095.1, QQM01325.1, QQM01464.1	
OG0000018	BAA31771.1		QQM00404.1, QQM00418.1, QQM00443.1, QQM00503.1, QQM00592.1, QQM00630.1, QQM00653.1, QQM00765.1, QQM00791.1, QQM00865.1, QQM01060.1, QQM01152.1	
OG0000019	BAB33753.1, BAB34527.1, BAB34730.1, BAB34762.1, BAB34763.2, BAB35083.1, BAB35241.1, BAB35647.1, BAB36214.1, BAB37289.2, BAB37292.1, BAB37970.1			QRP90126.1
OG0000020	BAB33818.1, BAB36254.1	AAC73445.1, AAC75094.1		QRP88204.1, QRP88419.1, QRP88918.1, QRP89359.1, QRP89364.1, QRP89470.1, QRP90380.1, QRP90796.1, QRP91619.1
OG0000021	BAB34265.1, BAB34544.1, BAB35071.1, BAB35229.1, BAB35413.1, BAB35584.1, BAB35656.1, BAB35657.2, BAB35658.1, BAB36142.2, BAB36143.1, BAB36366.2, BAB36367.1			
OG0000022				QRP88865.1, QRP89746.1, QRP89747.1, QRP89748.1, QRP89749.1, QRP89750.1, QRP89751.1, QRP89990.1, QRP89991.1, QRP89994.1, QRP90656.1, QRP91378.1, QRP91392.1
OG0000023	BAB33660.2, BAB33665.1, BAB33983.2, BAB34152.1, BAB35484.2, BAB37893.1, BAB38287.1	AAC73599.1, AAC73794.1, AAC76617.1, AAT48186.1	QQM00762.1	
OG0000024	BAB33751.2, BAB34525.1, BAB34732.2, BAB34760.1, BAB34816.1, BAB35081.1, BAB35243.1, BAB35645.1, BAB36212.2, BAB36917.1, BAB37269.1, BAB37968.2			
OG0000025	BAB34241.1, BAB34523.1, BAB34635.1, BAB34953.1, BAB35205.1, BAB35385.1, BAB35611.1, BAB35684.1, BAB36166.1, BAB36392.1, BAB36920.1	AAC73655.1		
OG0000026	BAB34243.1, BAB34516.2, BAB34638.1, BAB34957.1, BAB35046.1, BAB35209.1, BAB35607.2, BAB35680.2, BAB36162.2, BAB36389.2, BBE29428.1	AAC73657.1		
OG0000027	BAB34918.2	AAC74201.2	QQM00918.1	QRP87631.1, QRP89745.1, QRP89992.1, QRP89993.1, QRP90284.1, QRP90415.1, QRP90657.1, QRP90721.1, QRP90724.1
OG0000028		AAC73362.2, AAC73653.2, AAC73757.2, AAC74413.2, AAC74452.1, AAC75055.2, AAC75091.2, AAC75252.2, AAC76018.2, AAC76250.2, AAC76530.2, AYC08198.2		
OG0000029				QRP87681.1, QRP88417.1, QRP88585.1, QRP89092.1, QRP89099.1, QRP89101.1, QRP90011.1, QRP90541.1, QRP90543.1, QRP90547.1, QRP91047.1, QRP91308.1
OG0000030				QRP87979.1, QRP88085.1, QRP88411.1, QRP88895.1, QRP88962.1, QRP89289.1, QRP89640.1, QRP90022.1, QRP90494.1, QRP90514.1, QRP91416.1, QRP91592.1
OG0000031				QRP88193.1, QRP88798.1, QRP89637.1, QRP89638.1, QRP89923.1, QRP90053.1, QRP90112.1, QRP90256.1, QRP90273.1, QRP90511.1, QRP90586.1, QRP91361.1
OG0000032				QRP88506.1, QRP89371.1, QRP89546.1, QRP90456.1, QRP90561.1, QRP90800.1, QRP90907.1, QRP90999.1, QRP91251.1, QRP91423.1, QRP91490.1, QRP91605.1
OG0000033	BAB33939.1, BAB35286.1, BAB37560.1, BAB37816.1	AAC73565.1, AAC76297.1, AAC76538.1		QRP87832.1, QRP88875.1, QRP89229.1, QRP89730.1
OG0000034	BAB34266.1, BAB34545.1, BAB34659.1, BAB35072.1, BAB35230.1, BAB35414.1, BAB35583.1, BAB35655.1, BAB36141.1, BAB36365.1, BAB37273.2			
OG0000035	BAB34519.1, BAB34636.1, BAB34955.1, BAB35207.1, BAB35387.1, BAB35609.2, BAB35682.1, BAB36164.1, BAB36391.1, BAB36918.1	AAC74627.1		
OG0000036			QQM00367.1, QQM01006.1, QQM01020.1, QQM01081.1, QQM01131.1, QQM01409.1, QQM01421.1, QQM01427.1, QQM01463.1, QQM01472.1, QQM01483.1	
OG0000037			QQM00534.1, QQM00605.1, QQM00650.1, QQM00933.1, QQM01016.1, QQM01046.1, QQM01061.1, QQM01167.1, QQM01229.1, QQM01306.1, QQM01412.1	
OG0000038				QRP87461.1, QRP87543.1, QRP87664.1, QRP88745.1, QRP89044.1, QRP90008.1, QRP90369.1, QRP90647.1, QRP91132.1, QRP91358.1, QRP91360.1
OG0000039				QRP87527.1, QRP88060.1, QRP88486.1, QRP88487.1, QRP89093.1, QRP89100.1, QRP90689.1, QRP90871.1, QRP91024.1, QRP91191.1, QRP91433.1
OG0000040				QRP87607.1, QRP87616.1, QRP87784.1, QRP87915.1, QRP87916.1, QRP87921.1, QRP88028.1, QRP89179.1, QRP89182.1, QRP89188.1, QRP91264.1
OG0000041				QRP87698.1, QRP87959.1, QRP88106.1, QRP88107.1, QRP88113.1, QRP88121.1, QRP88970.1, QRP89540.1, QRP89541.1, QRP90285.1, QRP91474.1
OG0000042	BAB33707.1, BAB38415.1, BAB38672.2	AAC74242.1, AAC74456.1, AAC74618.1	QQM00585.1, QQM00852.1	QRP89381.1, QRP91574.1
OG0000043	BAB33712.1, BAB34722.1, BAB34997.1, BAB36654.1, BAB37266.1, BAB37957.1, BAB38676.1	AAC75408.1, AAC75495.2, AAC75670.1		
OG0000044	BAB34261.1, BAB34538.1, BAB34977.1, BAB35067.1, BAB35227.1, BAB35407.1, BAB35588.1, BAB35662.1, BAB36147.1, BAB36371.1			
OG0000045	BAB34262.1, BAB34539.1, BAB34978.1, BAB35068.1, BAB35228.1, BAB35408.1, BAB35587.1, BAB35661.1, BAB36146.1, BAB36370.1			
OG0000046	BAB34267.1, BAB34546.2, BAB34651.1, BAB35073.1, BAB35231.1, BAB35415.2, BAB35582.2, BAB35654.1, BAB36140.1, BAB36364.1			
OG0000047	BAB34268.2, BAB34547.1, BAB34652.1, BAB35232.1, BAB35416.2, BAB35580.1, BAB35653.1, BAB36139.1, BAB36363.2, BAB36912.2			
OG0000048	BAB38144.1	AAC75102.1, AAT48213.1		QRP88685.1, QRP88727.1, QRP88728.1, QRP88935.1, QRP89553.1, QRP90785.1, QRP91609.1
OG0000049				QRP87471.1, QRP87981.1, QRP87988.1, QRP88084.1, QRP88633.1, QRP88888.1, QRP88890.1, QRP88916.1, QRP90026.1, QRP90372.1
OG0000050				QRP88083.1, QRP88222.1, QRP88408.1, QRP88889.1, QRP89287.1, QRP89380.1, QRP89760.1, QRP90495.1, QRP91366.1, QRP91604.1
OG0000051				QRP88876.1, QRP88994.1, QRP89247.1, QRP89499.1, QRP90292.1, QRP90735.1, QRP91289.1, QRP91310.1, QRP91379.1, QRP91581.1
OG0000052	BAA31792.1	AYC08169.1	QQM00674.1, QQM00905.1, QQM01141.1, QQM01261.1	QRP88799.1, QRP88809.1, QRP90111.1
OG0000053	BAB33820.1, BAB37381.2	AAC73447.1, AAT48164.1		QRP87831.1, QRP88983.1, QRP89102.1, QRP91146.1, QRP91312.1
OG0000054	BAB34244.1, BAB34515.2, BAB34639.1, BAB34958.1, BAB35210.1, BAB35606.2, BAB35679.2, BAB36161.2, BAB36388.2			
OG0000055	BAB34263.2, BAB34540.2, BAB34981.1, BAB35069.1, BAB35409.1, BAB35586.2, BAB35660.2, BAB36145.2, BAB36369.1			
OG0000056	BAB34264.2, BAB34541.2, BAB34982.2, BAB35070.2, BAB35410.2, BAB35585.2, BAB35659.2, BAB36144.2, BAB36368.2			
OG0000057	BAB34587.1, BAB34670.1, BAB34941.1, BAB35622.1, BAB35695.1, BAB36179.1, BAB36432.1, BAB36433.1	AAC75422.1		
OG0000058	BAB35841.1, BAB37338.1, BAB37809.1	AAC74781.1, AAC77244.1, AAC77245.1		QRP89619.1, QRP89959.1, QRP90909.1
OG0000059	BAB36272.1	AAC75105.1	QQM00836.1	QRP87945.1, QRP88023.1, QRP88956.1, QRP89358.1, QRP91616.1, QRP91620.1
OG0000060	BAB36360.1, BAB36683.1	AAC75187.1, AAC75439.1		QRP88011.1, QRP88211.1, QRP88541.1, QRP88991.1, QRP90417.1
OG0000061	BAB36753.1, BAB37182.2, BAB37515.1	AAC75521.1, AAC75925.2, AAC76245.1	QQM01213.1	QRP89724.1, QRP91075.1
OG0000062	BAB36935.1, BAB37189.1, BAB38164.1	AAC75932.1, AAC76814.1	QQM00957.1, QQM01267.1	QRP88050.1, QRP88245.1
OG0000063	BAB38145.1	AAC76794.1		QRP88508.1, QRP88684.1, QRP88738.1, QRP89548.1, QRP90454.1, QRP90704.1, QRP90782.1
OG0000064				QRP87463.1, QRP88176.1, QRP88768.1, QRP89159.1, QRP90392.1, QRP90843.1, QRP90889.1, QRP91031.1, QRP91297.1
OG0000065				QRP87700.1, QRP87701.1, QRP87709.1, QRP87718.1, QRP87724.1, QRP88144.1, QRP88629.1, QRP88911.1, QRP90893.1
OG0000066				QRP87705.1, QRP88544.1, QRP88955.1, QRP90523.1, QRP90540.1, QRP91291.1, QRP91294.1, QRP91295.1, QRP91317.1
OG0000067				QRP87737.1, QRP88524.1, QRP88597.1, QRP88716.1, QRP89375.1, QRP89607.1, QRP89932.1, QRP90432.1, QRP91034.1
OG0000068				QRP87970.1, QRP88790.1, QRP88959.1, QRP88974.1, QRP89204.1, QRP90754.1, QRP90834.1, QRP91041.1, QRP91387.1
OG0000069	BAB33425.1, BAB38430.1	AAC73113.1, AAC76994.1	QQM01115.1	QRP87491.1, QRP87521.1, QRP89280.1
OG0000070	BAB33711.1, BAB34987.1	AAC73464.1, AAC74484.1, AAC75057.1, AAC75899.1, AAC76081.1, AAC77229.1		
OG0000071	BAB34199.1	AAC73835.1	QQM01350.1	QRP88405.1, QRP90582.1, QRP90589.1, QRP90867.1, QRP91412.1
OG0000072	BAB34498.1, BAB34934.1, BAB35369.2, BAB35627.2, BAB35697.1, BAB36184.1, BBE29422.1	AYC08204.1		
OG0000073	BAB34795.2	AAC73132.1, AAC73367.1, AAC73377.1, AAC74073.1, AAC74963.1, AAC76470.1, AYC08167.1		
OG0000074	BAB34826.1, BAB36226.1	AAC73350.1, AAC75063.1, AAC75692.1	QQM00845.1, QQM01422.1	QRP91627.1
OG0000075	BAB34954.1, BAB35206.1, BAB35386.1, BAB35610.1, BAB35683.1, BAB36165.1, BAB36919.1	AAC74628.1		
OG0000076	BAB35247.1, BAB35417.1, BAB35418.1, BAB35419.1, BAB35577.1, BAB35578.1, BAB35579.1, BAB36909.1			
OG0000077	BAB35273.1, BAB37352.1	AAC74359.1, AAC76077.1	QQM00360.1, QQM00869.1	QRP87503.1, QRP90963.1
OG0000078	BAB35389.2, BBE29406.1, BBE29414.1, BBE29424.1, BBE29434.1, BBE29437.1, BBE29446.1, BBE29447.1			
OG0000079	BAB35522.2	AAC74567.1	QQM00945.1, QQM00966.1	QRP88336.1, QRP88743.1, QRP91066.1, QRP91461.1
OG0000080	BAB35963.1	AAC74900.1		QRP87663.1, QRP87990.1, QRP88138.1, QRP90045.1, QRP90379.1, QRP91118.1
OG0000081	BAB37019.1, BAB37161.2	AAC75784.1, AAC75903.2	QQM00399.1	QRP88476.1, QRP88697.1, QRP90975.1
OG0000082	BAB37680.1, BAB38703.1	AAC75424.1, AAC75782.1, AAC77222.1, AAC77252.1, AAC77277.1, AAT48179.1		
OG0000083	BAB38349.1, BAB38497.1	AAC75279.1, AAC76977.1	QQM01318.1	QRP87514.1, QRP89323.1, QRP89324.1
OG0000084	BAB38675.2	AAC74581.1	QQM00562.1, QQM00759.1, QQM00843.1, QQM00844.1, QQM00846.1	QRP88188.1
OG0000085			QQM00452.1, QQM00454.1, QQM00455.1, QQM00569.1, QQM00679.1, QQM00808.1, QQM00825.1, QQM01161.1	
OG0000086			QQM00583.1, QQM00584.1, QQM00590.1, QQM00663.1, QQM00822.1, QQM00854.1, QQM00855.1, QQM00971.1	
OG0000087				QRP87927.1, QRP88604.1, QRP88949.1, QRP88987.1, QRP89103.1, QRP91183.1, QRP91189.1, QRP91313.1
OG0000088				QRP88507.1, QRP88722.1, QRP89547.1, QRP90455.1, QRP90705.1, QRP90799.1, QRP90998.1, QRP91250.1
OG0000089	BAB33838.1, BAB34357.1, BAB34922.1	AAC73941.1, AAC74207.1	QQM01073.1	QRP89422.1
OG0000090	BAB34298.1, BAB38136.1	AAC73884.1, AAC76785.1	QQM01333.1	QRP89820.1, QRP90601.1
OG0000091	BAB34402.2, BAB35716.1, BAB35717.2, BAB36807.1	AAC73980.2, AAC74659.1, AAC74660.4		
OG0000092	BAB34503.1, BAB34668.1, BAB34943.1, BAB35621.1, BAB36177.1, BBE29439.1	AAC74635.1		
OG0000093	BAB34505.2, BAB34945.1, BAB35199.1, BAB35618.2, BAB35692.1, BAB36175.1	AAC74633.4		
OG0000094	BAB34537.1, BAB35066.1, BAB35589.1, BAB36148.1, BAB36149.1, BAB36372.1	AYC08206.1		
OG0000095	BAB34637.1, BAB34956.1, BAB35208.1, BAB35388.1, BAB35608.2, BAB35681.1, BAB36390.1			
OG0000096	BAB34988.1	AAC73463.2, AAC74485.2, AAC75900.3, AAC76080.3, AAC77228.2, AAT48140.2		
OG0000097	BAB35028.2	AAC74217.2	QQM01353.1	QRP87559.1, QRP88435.1, QRP90819.1, QRP91459.1
OG0000098	BAB35338.1	AAC74416.1		QRP88598.1, QRP89862.1, QRP90470.1, QRP90875.1, QRP91525.1
OG0000099	BAB35445.1, BAB35911.1, BAB37221.1	AAC74849.1, AAC75964.1	QQM00715.1	QRP91114.1
OG0000100	BAB35877.1, BAB37633.1	AAC74818.1, AAC76384.1	QQM00798.1, QQM01369.1	QRP87561.1
OG0000101	BAB35946.1, BAB37080.1, BAB37415.1	AAC74884.1, AAC75839.1, AAT48169.1		QRP90880.1
OG0000102	BAB36878.1	AAC75641.1, QNV50514.1	QQM00538.1	QRP90094.1, QRP90341.1, QRP90922.1
OG0000103	BAB36992.1, BAB37879.1	AAC75755.1, AAC75924.2, AAC76597.1	QQM00429.1	QRP87500.1
OG0000104	BAB37346.2	AAC76071.2	QQM00409.1	QRP87539.1, QRP88304.1, QRP90413.1, QRP91350.1
OG0000105	BAB37613.1, BAB38326.1	AAC76364.1, AAC76954.1	QQM00371.1, QQM00900.1	QRP88247.1
OG0000106	BAB37918.1	AAC76641.1	QQM01365.1	QRP89299.1, QRP89744.1, QRP90337.1, QRP90651.1
OG0000107		AAC73127.1, AAC73683.1, AAC75453.2	QQM00446.1, QQM00560.1, QQM00801.1	QRP91555.1
OG0000108		AAC73133.1, AAC73368.1, AAC73378.1, AAC74964.1, AAC76469.1, ABD18646.1, AYC08168.1		
OG0000109			QQM00451.1, QQM00453.1, QQM00570.1, QQM00680.1, QQM00826.1, QQM01405.1, QQM01469.1	
OG0000110			QQM01397.1	QRP88306.1, QRP88543.1, QRP88675.1, QRP89195.1, QRP89966.1, QRP90048.1
OG0000111				QRP87478.1, QRP87682.1, QRP87926.1, QRP90402.1, QRP90539.1, QRP90544.1, QRP90597.1
OG0000112				QRP87612.1, QRP87617.1, QRP88030.1, QRP89183.1, QRP90287.1, QRP91262.1, QRP91263.1
OG0000113				QRP87613.1, QRP87618.1, QRP87786.1, QRP87923.1, QRP89178.1, QRP91464.1, QRP91465.1
OG0000114				QRP88048.1, QRP88443.1, QRP88574.1, QRP89126.1, QRP89128.1, QRP89418.1, QRP89818.1
OG0000115				QRP88572.1, QRP88734.1, QRP90317.1, QRP90436.1, QRP90442.1, QRP90694.1, QRP91615.1
OG0000116				QRP88801.1, QRP88802.1, QRP88803.1, QRP88804.1, QRP89636.1, QRP90255.1, QRP91365.1
OG0000117	BAB33543.1	AAC73227.1	QQM00614.1, QQM00956.1	QRP87932.1, QRP90637.1
OG0000118	BAB33588.1, BAB37530.1	AAC73272.1, AAC76266.1	QQM01025.1	QRP89399.1
OG0000119	BAB33697.1, BAB34608.2, BAB35632.2, BAB36413.2			QRP90261.1, QRP91488.1
OG0000120	BAB33800.1, BAB38115.1, BAB38495.1	AAC76773.1, AAC77047.1, AAT48138.2		
OG0000121	BAB33809.1, BAB34168.1	AAC73436.1, AAC73814.1	QQM01270.1	QRP88648.1
OG0000122	BAB33839.1, BAB36548.1, BAB38027.2	AAC75300.1, AAC76690.2	QQM01441.1	
OG0000123	BAB33897.1	AAC73523.1	QQM00738.1	QRP88199.1, QRP90634.1, QRP91195.1
OG0000124	BAB33940.1, BAB37559.1	AAC73566.1, AAC76296.1		QRP88330.1, QRP90034.1
OG0000125	BAB34181.1, BAB37831.1, BAB38482.1	AAC76553.1, AAD13460.1	QQM00542.1	
OG0000126	BAB34191.2, BAB34557.1	AAC73827.2, AAC74063.1	QQM01449.1	QRP90411.1
OG0000127	BAB34192.1, BAB34558.1	AAC73828.1, AAC74064.1	QQM00947.1	QRP90410.1
OG0000128	BAB34257.1, BAB34534.2, BAB35063.1, BAB35592.1, BAB36152.2, BAB36375.1			
OG0000129	BAB34258.1, BAB34535.2, BAB35064.1, BAB35591.1, BAB36151.1, BAB36374.1			
OG0000130	BAB34259.1, BAB34536.2, BAB35065.1, BAB35590.1, BAB36150.2, BAB36373.1			
OG0000131	BAB34326.2, BAB38298.1	AAC73912.2, AAC76928.1	QQM00789.1	QRP89104.1
OG0000132	BAB34418.1	AAC73998.1	QQM00397.1, QQM01220.1	QRP90691.1, QRP91569.1
OG0000133	BAB34492.2, BAB35188.1, BAB35364.2, BAB35702.2, BAB36189.2	AAC74643.1		
OG0000134	BAB34506.1, BAB34946.1, BAB35200.1, BAB35617.1, BAB35691.1, BAB36174.1			
OG0000135	BAB34514.1, BAB34811.1, BAB35011.1, BAB35605.1, BAB36160.1	AAC75416.1		
OG0000136	BAB34560.1, BAB36288.2	AAC74066.1, AAC75121.2		QRP89377.1, QRP91626.1
OG0000137	BAB34562.1, BAB36290.1	AAC74068.1, AAC75123.1		QRP89378.1, QRP91607.1
OG0000138	BAB34776.1, BAB35382.1, BAB35613.1, BAB35688.1, BAB36172.1, BBE29412.1			
OG0000139	BAB34828.1, BAB36228.1	AAC73349.1, AAC75065.1, AAC75693.1, AYC08170.1		
OG0000140	BAB34965.1, BAB35021.1, BAB35215.1, BAB35394.1, BAB35674.1	AYC08192.1		
OG0000141	BAB35289.1, BAB36497.1	AAC75243.1	QQM01424.1	QRP89246.1, QRP91290.1
OG0000142	BAB35570.1, BAB37793.1	AAC74611.1, AAC76523.1		QRP89163.1, QRP91115.1
OG0000143	BAB35740.1, BAB38543.2	AAC74683.1, AAC77099.2	QQM00749.1	QRP88233.1
OG0000144	BAB35776.2, BAB37537.1	AAC74716.2, AAC76273.1	QQM00633.1	QRP89455.1
OG0000145	BAB36252.1	AAC75089.1	QQM00841.1	QRP89822.1, QRP90701.1, QRP91249.1
OG0000146	BAB36467.1	AAC75213.1		QRP87702.1, QRP89078.1, QRP89457.1, QRP90052.1
OG0000147	BAB36623.1	AAC75376.1	QQM01272.1	QRP88882.1, QRP89061.1, QRP90644.1
OG0000148	BAB36750.1, BAB37233.1	AAC75518.1, AAT48155.1	QQM00665.1	QRP90609.1
OG0000149	BAB36857.1	AAC75621.1	QQM01458.1	QRP87842.1, QRP87843.1, QRP89191.1
OG0000150	BAB37018.1, BAB37373.1	AAC75783.1, AAC76103.1	QQM01377.1	QRP89400.1
OG0000151	BAB37100.1	AAC75859.1	QQM00643.1, QQM00926.1, QQM01482.1	QRP90012.1
OG0000152	BAB37472.1	AAC76202.1, UMR55123.1, UMR55124.1	QQM01395.1	QRP87774.1
OG0000153	BAB37587.1, BBE29395.1	AAC76324.1, ABD18636.1	QQM00628.1	QRP88288.1
OG0000154	BAB37648.2, BAB37772.2	AAC76400.2		QRP87694.1, QRP87782.1, QRP88324.1
OG0000155	BAB37924.1			QRP88111.1, QRP88389.1, QRP90988.1, QRP91081.1, QRP91419.1
OG0000156	BAB37925.1, BAB37927.1	AAC76650.1, AAC76651.1		QRP87806.1, QRP91421.1
OG0000157	BAB38142.2	AAT48211.1		QRP88021.1, QRP88510.1, QRP90451.1, QRP90798.1
OG0000158	BAB38214.1	AAC76866.1		QRP89755.1, QRP89998.1, QRP90660.1, QRP90714.1
OG0000159	BAB38579.1	AAC77137.1	QQM01107.1	QRP87954.1, QRP89310.1, QRP89836.1
OG0000160				QRP87605.1, QRP87914.1, QRP88031.1, QRP89184.1, QRP90968.1, QRP91508.1
OG0000161				QRP87860.1, QRP87889.1, QRP88001.1, QRP88174.1, QRP88175.1, QRP91469.1
OG0000162				QRP87952.1, QRP88110.1, QRP88118.1, QRP88386.1, QRP88388.1, QRP88402.1
OG0000163				QRP88049.1, QRP89290.1, QRP90021.1, QRP90493.1, QRP90645.1, QRP91406.1
OG0000164				QRP88461.1, QRP88628.1, QRP88754.1, QRP88755.1, QRP88756.1, QRP88758.1
OG0000165				QRP88643.1, QRP89208.1, QRP89209.1, QRP89210.1, QRP89489.1, QRP89591.1
OG0000166				QRP89370.1, QRP89555.1, QRP90794.1, QRP90997.1, QRP91248.1, QRP91612.1
